ticker,date,open,high,low,close,volume
SWIM,2026-03-03,6.34,6.59,6.11,6.44,1351700
SWIM,2026-03-04,7.94,8.966,7.17,7.2,4109300
SWIM,2026-03-05,7.07,7.26,6.42,6.46,1526800
SWIM,2026-03-06,6.24,6.42,6.11,6.3,1723500
SWIM,2026-03-09,6.13,6.38,6.09,6.31,1008500
SWIM,2026-03-10,6.3,6.52,6.24,6.35,858500
SWIM,2026-03-11,6.35,6.46,6.28,6.38,618400
SWIM,2026-03-12,6.38,6.41,6.09,6.13,944100
SWIM,2026-03-13,6.15,6.18,5.84,6.02,929400
SWIM,2026-03-16,6.11,6.27,5.902,6.12,767000
SWIM,2026-03-17,6.16,6.27,6.03,6.07,974200
SWIM,2026-03-18,6.01,6.06,5.76,5.76,1058400
SWIM,2026-03-19,5.74,5.77,5.43,5.51,1542900
SWIM,2026-03-20,5.52,5.6,5.38,5.55,1377500
SWIM,2026-03-23,5.79,5.94,5.68,5.78,977700
SWIM,2026-03-24,5.69,5.835,5.63,5.74,764900
SWIM,2026-03-25,5.84,5.905,5.575,5.62,1095500
SWIM,2026-03-26,5.54,5.71,5.455,5.49,408900
SWIM,2026-03-27,5.43,5.48,5.29,5.29,619500
SWIM,2026-03-30,5.31,5.355,5.16,5.17,464100
SWIM,2026-03-31,5.27,5.445,5.185,5.37,1335700
SWIM,2026-04-01,5.45,5.515,5.36,5.36,666100
SWIM,2026-04-02,5.2,5.28,5.04,5.19,442700
SWIM,2026-04-06,5.14,5.295,5.05,5.28,415400
SWIM,2026-04-07,5.27,5.27,5.115,5.17,582100
SWIM,2026-04-08,5.48,5.78,5.48,5.67,831600
SWIM,2026-04-09,5.59,5.825,5.545,5.81,386400
SWIM,2026-04-10,5.8,5.8,5.58,5.75,422500
SWIM,2026-04-13,5.66,5.78,5.58,5.76,312100
SWIM,2026-04-14,5.78,5.93,5.745,5.92,363100
SWIM,2026-04-15,5.9,6.13,5.9,6.03,829800
SWIM,2026-04-16,6.01,6.115,5.99,6.03,513600
SWIM,2026-04-17,6.24,6.575,6.19,6.34,432700
SWIM,2026-04-20,6.22,6.27,6.105,6.18,392900
SWIM,2026-04-21,6.19,6.26,5.915,5.95,407800
SWIM,2026-04-22,6.03,6.03,5.92,6.01,298200
SWIM,2026-04-23,6.01,6.155,5.955,6.02,437900
SWIM,2026-04-24,6.0,6.04,5.94,6.01,224800
SWIM,2026-04-27,6.0,6.18,5.92,5.98,531500
SWIM,2026-04-28,5.95,6.04,5.895,5.94,324200
SWIM,2026-04-29,5.91,5.92,5.73,5.84,765200
SWIM,2026-04-30,5.82,6.09,5.805,6.07,487800
SWIM,2026-05-01,6.12,6.14,5.92,5.94,412600
SWIM,2026-05-04,5.87,5.87,5.655,5.8,646800
SWIM,2026-05-05,5.84,5.97,5.785,5.86,620900
SWIM,2026-05-06,5.46,6.0,5.46,5.81,1423800
SWIM,2026-05-07,5.88,5.98,5.65,5.75,1030800
SWIM,2026-05-08,5.77,5.84,5.26,5.5,1521300
SWIM,2026-05-11,5.49,5.495,5.26,5.37,899300
SWIM,2026-05-12,5.34,5.36,5.01,5.01,1164100
SWIM,2026-05-13,5.0,5.085,4.64,4.8,956700
SWIM,2026-05-14,4.83,4.98,4.76,4.91,772200
SWIM,2026-05-15,4.81,4.92,4.68,4.76,845600
SWIM,2026-05-18,4.77,4.935,4.73,4.84,498000
SWIM,2026-05-19,4.81,4.865,4.725,4.78,801900
SWIM,2026-05-20,4.8,4.968,4.71,4.89,797100
SWIM,2026-05-21,5.23,5.285,4.91,5.16,1122500
SWIM,2026-05-22,5.17,5.27,5.17,5.22,566300
SWIM,2026-05-26,5.25,5.395,5.25,5.35,394600
SWIM,2026-05-27,5.42,5.725,5.405,5.58,996600
SWIM,2026-05-28,5.53,5.53,5.41,5.43,384300
SWIM,2026-05-29,5.4,5.485,5.27,5.28,920800
SWIM,2026-06-01,5.24,5.345,5.1,5.32,584800
SWIM,2026-06-02,5.29,5.4,5.245,5.32,446200
SWIM,2026-06-03,5.24,5.375,5.24,5.28,824000
SWIM,2026-06-04,5.31,5.495,5.31,5.44,530000
SWIM,2026-06-05,5.41,5.53,5.23,5.28,1309800
SWIM,2026-06-08,5.29,5.47,5.29,5.38,450200
SWIM,2026-06-09,5.42,5.72,5.42,5.6,756400
SWIM,2026-06-10,5.59,5.61,5.33,5.33,638200
SWIM,2026-06-11,5.35,5.72,5.33,5.69,828300
SWIM,2026-06-12,5.73,5.81,5.6,5.6,515400
SWIM,2026-06-15,5.72,5.86,5.435,5.45,1319000
SWIM,2026-06-16,5.51,5.655,5.425,5.46,1358000
SWIM,2026-06-17,5.51,5.655,5.4,5.62,1620800
SWIM,2026-06-18,5.72,5.936,5.71,5.82,1071800
SWIM,2026-06-22,5.78,5.805,5.68,5.76,484000
SWIM,2026-06-23,5.7,5.885,5.695,5.88,659600
SWIM,2026-06-24,5.92,6.22,5.905,6.05,753300
SWIM,2026-06-25,6.05,6.355,6.05,6.34,636400
SWIM,2026-06-26,6.33,6.48,6.31,6.41,2322100
SWIM,2026-06-29,6.4,6.42,6.27,6.39,616500
SWIM,2026-06-30,6.39,6.53,6.3,6.47,1391400
SWIM,2026-07-01,6.46,6.625,6.37,6.49,455400
SWIM,2026-07-02,6.5,6.71,6.025,6.14,1023600
SWIM,2026-07-06,6.15,6.3,6.03,6.2,530000
SWIM,2026-07-07,6.2,6.26,5.86,5.91,896100
SWIM,2026-07-08,5.84,5.905,5.72,5.88,725400
SWIM,2026-07-09,5.91,6.125,5.8,5.99,346500
SWIM,2026-07-10,6.0,6.245,6.0,6.15,474300
SWIM,2026-07-13,6.15,6.22,5.835,5.92,633300
SWIM,2026-07-14,5.93,6.115,5.9,6.06,711500
SWIM,2026-07-15,6.02,6.15,5.73,5.88,914800
SWIM,2026-07-16,5.88,6.165,5.875,6.06,573600
SWIM,2026-07-17,5.96,6.18,5.8,5.89,787400
SWIM,2026-07-20,5.9,6.15,5.9,6.11,576300
SWIM,2026-07-21,6.13,6.203,5.77,5.84,851800
SWIM,2026-07-22,5.87,5.9,5.765,5.84,590300
SWIM,2026-07-23,5.73,5.815,5.49,5.5,687300
SWIM,2026-07-24,5.505,5.59,5.486,5.5,425900
SWIM,2026-07-27,5.55,5.716,5.53,5.63,439400
SWIM,2026-07-28,5.7,5.805,5.645,5.73,351700
SWIM,2026-07-29,5.69,5.69,5.49,5.62,521500
SWIM,2026-07-30,5.65,5.65,5.35,5.38,557800
SWIM,2026-07-31,5.46,5.46,5.29,5.36,506700
SWIM,2026-08-03,5.44,5.69,5.44,5.64,603300
SWIM,2026-08-04,5.67,5.805,5.63,5.7,1012500
SWIM,2026-08-05,6.97,7.42,6.41,7.3,3707800
SWIM,2026-08-06,7.29,7.375,7.04,7.22,1651500
SWIM,2026-08-07,7.2,7.6,7.2,7.48,1544200
SWIM,2026-08-10,7.36,7.45,7.11,7.31,784900
SWIM,2026-08-11,7.33,7.595,7.19,7.59,1115500
SWIM,2026-08-12,7.55,7.865,7.53,7.83,1581800
SWIM,2026-08-13,7.53,7.83,7.39,7.56,996500
SWIM,2026-08-14,7.54,7.54,7.305,7.32,526400
SWIM,2026-08-17,7.13,7.24,7.03,7.13,571100
SWIM,2026-08-18,7.15,7.15,6.83,6.99,750200
SWIM,2026-08-19,7.1,7.225,7.065,7.19,578000
SWIM,2026-08-20,7.03,7.14,6.85,7.09,567600
SWIM,2026-08-21,7.15,7.27,6.97,7.03,392100
SWIM,2026-08-24,7.11,7.17,6.98,7.0,761200
SWIM,2026-08-25,7.01,7.14,6.82,7.14,692100
SWIM,2026-08-26,7.16,7.305,7.04,7.12,693900
SWIM,2026-08-27,7.03,7.25,6.97,6.98,459300
SWIM,2026-08-28,6.98,7.12,6.81,7.08,582600
SWIM,2026-08-31,7.02,7.105,6.32,7.07,975700
SWIM,2026-09-01,6.97,7.05,6.845,6.875,947100
SWIM,2026-09-02,6.9,7.01,6.655,6.87,1388200
