ticker,date,owner,role,title,code,shares,price,value,shares_after
ABCL,2026-05-14,Montalbano John S.,director,,P,20000.0,4.77,95400.0,241000.0
ABCL,2026-08-12,Hayden Michael R,director,,P,46387.0,10.37,481033.19,1319784.0
ABCL,2026-08-14,Booth Andrew,officer,Chief Financial Officer,P,37200.0,10.32,383904.0,482800.0
ABCL,2026-08-18,Montalbano John S.,director,,P,10000.0,11.03,110300.0,251000.0
ABCL,2026-08-24,Hayden Michael R,director,,P,53613.0,10.64,570442.32,1373397.0
ABSI,2026-03-12,Busch Andreas,officer,Chief Innovation Officer,P,100000.0,2.29,229000.0,421446.0
ABSI,2026-05-13,Pangalos Menelas N,director,,P,37453.0,5.36,200748.08,232308.0
ABSI,2026-06-30,Szela Mary T,director,,P,12900.0,11.54,148866.0,21300.0
ACHR,2026-03-13,Perkins Tosha,officer,CHIEF ADMINISTRATIVE OFFICER,S,10949.0,6.2749,68703.88,384768.0
ACHR,2026-03-13,Muniz Thomas Paul,officer,CHIEF TECHNOLOGY OFFICER,S,9580.0,6.2749,60113.54,1352208.0
ACHR,2026-03-13,Lentell Eric,officer,Chief Legal & Strategy Officer,S,8059.0,6.2749,50569.42,150119.0
ACHR,2026-03-13,Gupta Priya,officer,Interim CFO,S,7263.0,6.2749,45574.6,178512.0
ACHR,2026-03-26,Lentell Eric,officer,Chief Legal & Strategy Officer,S,50000.0,5.36,268000.0,100119.0
ACHR,2026-03-27,Lentell Eric,officer,Chief Legal & Strategy Officer,S,50000.0,5.3,265000.0,50119.0
ACHR,2026-05-15,Muniz Thomas Paul,officer,CHIEF TECHNOLOGY OFFICER,S,44740.0,6.0611,271173.61,1554153.0
ACHR,2026-05-15,Lentell Eric,officer,Chief Legal & Strategy Officer,S,39967.0,6.0611,242243.98,189253.0
ACHR,2026-05-18,Rungta Harsh,officer,Chief Accounting Officer,S,12414.0,5.9527,73896.82,87210.0
ACHR,2026-05-18,Muniz Thomas Paul,officer,CHIEF TECHNOLOGY OFFICER,S,91839.0,5.9527,546690.02,1462314.0
