ticker,name,sector,industry,price,adr,atr_pct,dollar_vol,ret_1m,ret_3m,ret_6m,run_90d,from_52w_high,rs,bars,last_date
ABCL,AbCellera Biologics Inc. - Common Shares,Healthcare,Biotechnology,11.43,8.15,6.78,107464603.0,75.04,103.38,231.3,234.57,-9.14,0.9622174806385332,188,2026-09-04
ADVB,Advanced Biomed Inc. - Common Stock,Healthcare,Diagnostics & Research,9.335,14.59,11.74,2452438.0,25.47,123.86,109.3,561.99,-61.47,0.9115180970444129,188,2026-09-04
AGPU,Axe Compute Inc. - Common Stock,Technology,Software - Infrastructure,10.67,10.53,8.35,3983969.0,27.33,38.03,483.06,180.62,-9.04,0.8869132290184921,188,2026-09-04
AGEN,Agenus Inc. - Common Stock,Healthcare,Biotechnology,8.24,7.53,7.37,8251581.0,10.01,155.11,178.38,210.53,-6.89,0.8767543859649123,188,2026-09-04
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",Healthcare,Biotechnology,8.49,5.21,5.08,11319854.0,29.62,65.5,98.83,110.73,-1.74,0.8382092618934723,188,2026-09-04
ABSI,Absci Corporation - Common Stock,Healthcare,Biotechnology,8.82,6.71,7.74,26845666.0,6.27,37.81,270.59,168.49,-26.84,0.8048640746009168,188,2026-09-04
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,Healthcare,Biotechnology,15.78,7.66,6.29,2177023.0,16.89,59.07,15.86,103.66,-11.45,0.7242887624466572,146,2026-09-04
ADPT,Adaptive Biotechnologies Corporation - Common Stock,Healthcare,Diagnostics & Research,24.28,4.33,4.63,47335984.0,2.88,43.67,63.39,114.94,-9.64,0.7106606606606607,188,2026-09-04
ACB,Aurora Cannabis Inc. - Common Shares,Healthcare,Drug Manufacturers - Specialty & Generic,3.95,4.65,3.84,7011687.0,32.55,16.86,12.54,62.11,-37.89,0.6661727516990674,188,2026-09-04
AGYS,"Agilysys, Inc. - Common Stock",Technology,Software - Application,111.36,3.59,3.6,30165869.0,3.51,25.8,43.76,95.14,-13.89,0.6530780780780782,188,2026-09-04
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Healthcare,Biotechnology,6.17,4.88,5.21,9623842.0,1.31,41.51,101.63,62.0,-6.52,0.6313892840208629,188,2026-09-04
ACMR,"ACM Research, Inc. - Class A Common Stock",Technology,Semiconductor Equipment & Materials,74.44,5.85,6.01,68055659.0,-5.75,-2.42,65.72,166.48,-41.47,0.6061877667140825,188,2026-09-04
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Healthcare,Biotechnology,33.1,3.73,3.63,30278104.0,3.6,17.0,20.5,71.89,-24.93,0.60114588272483,188,2026-09-04
ADV,Advantage Solutions Inc.  - Class A Common Stock,Communication Services,Advertising Agencies,31.45,5.99,5.87,2572400.0,24.11,-18.84,96.56,60.78,-33.72,0.5868144460249723,188,2026-09-04
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,Industrials,Building Products & Equipment,8.17,26.29,19.26,26787722.0,64.72,-49.94,-76.89,1127.08,-97.72,0.5802434012960329,188,2026-09-04
AEHR,Aehr Test Systems - Common Stock,Technology,Semiconductor Equipment & Materials,86.26,9.88,10.65,277505060.0,-13.52,-12.38,142.24,132.79,-41.48,0.5317607080764976,188,2026-09-04
ABTC,American Bitcoin Corp. - Class A Common Stock,Financial Services,Capital Markets,7.99,10.34,12.31,15089254.0,29.08,-38.28,-51.13,92.48,-77.85,0.4771218587008061,188,2026-09-04
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",Financial Services,Credit Services,72.35,5.19,5.88,407904438.0,-5.52,13.74,39.94,51.36,-20.0,0.47312707444286395,188,2026-09-04
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Healthcare,Medical Care Facilities,28.13,5.1,5.4,44652103.0,-8.43,14.91,9.8,65.88,-21.49,0.46643353880195987,188,2026-09-04
ABAT,American Battery Technology Company - Common Stock,Industrials,Waste Management,2.78,6.26,5.99,8206719.0,16.32,-10.61,-17.51,52.88,-47.84,0.4472893946578157,188,2026-09-04
ACDC,ProFrac Holding Corp. - Class A Common Stock,Energy,Oil & Gas Equipment & Services,5.15,8.64,7.37,8252765.0,15.34,-25.69,-4.63,59.2,-37.35,0.44201438280385646,188,2026-09-04
ADBE,Adobe Inc. - Common Stock,Technology,Software - Application,266.51,3.56,3.93,1185121561.0,2.41,5.99,-6.03,54.92,-26.52,0.4277106053421843,188,2026-09-04
ADUR,Aduro Clean Technologies Inc. - Common Stock,Industrials,Pollution & Treatment Controls,13.58,5.71,5.76,6191042.0,-11.53,-3.14,24.47,56.14,-25.34,0.4108345187292556,188,2026-09-04
AEBI,Aebi Schmidt Holding AG - Common Stock,Industrials,Farm & Heavy Construction Machinery,12.95,5.47,4.74,6406768.0,0.36,12.74,-2.6,46.3,-18.4,0.4092065749960487,188,2026-09-04
ABEO,Abeona Therapeutics Inc. - Common Stock,Healthcare,Biotechnology,6.0,4.19,3.51,9955918.0,-13.04,9.89,23.71,50.59,-21.57,0.3834439702860756,188,2026-09-04
AEVA,"Aeva Technologies, Inc. - Common Stock",Technology,Software - Infrastructure,15.69,7.96,8.07,29364612.0,-37.89,-31.81,10.73,149.7,-49.87,0.37619329856171957,188,2026-09-04
ADEA,Adeia Inc.  - Common Stock,Technology,Software - Application,26.5,3.81,4.2,22044675.0,-6.21,-8.38,34.16,39.94,-22.54,0.3594555081397187,188,2026-09-04
AAOI,"Applied Optoelectronics, Inc. - Common Stock",Technology,Communication Equipment,105.53,8.86,9.61,1229612223.0,-15.05,-40.38,10.41,111.8,-54.84,0.3421171171171171,188,2026-09-04
AAON,"AAON, Inc. - Common Stock",Industrials,Building Products & Equipment,79.4,5.19,4.55,101715130.0,-11.94,-40.05,-9.82,74.22,-47.12,0.3076458036984353,188,2026-09-04
AHCO,AdaptHealth Corp.  - Common Stock,Healthcare,Medical Devices,6.49,5.29,4.51,17547583.0,7.36,-34.38,-31.61,25.14,-51.68,0.30598624940730207,188,2026-09-04
ACLS,"Axcelis Technologies, Inc. - Common Stock",Technology,Semiconductor Equipment & Materials,115.08,4.57,5.38,38796721.0,-15.79,-21.8,39.93,48.41,-40.61,0.2943851746483325,188,2026-09-04
AEIS,"Advanced Energy Industries, Inc. - Common Stock",Industrials,Electrical Equipment & Parts,280.9,4.82,5.58,146319718.0,-13.25,-4.68,-3.33,40.96,-29.28,0.2777619724988146,188,2026-09-04
AGNT,"AGNT, Inc. - Common Stock",Real Estate,Real Estate Services,4.03,4.7,5.16,5147440.0,-1.32,-14.2,-36.09,31.31,-62.87,0.26974079342500396,188,2026-09-04
ADXN,Addex Therapeutics Ltd - American Depositary Shares,Healthcare,Biotechnology,3.65,10.47,16.62,2007865.0,-37.07,-37.71,-49.09,64.15,-65.0,0.218381539434171,188,2026-09-04
ADTN,"ADTRAN Holdings, Inc. - Common Stock",Technology,Communication Equipment,7.1,4.35,4.8,13648234.0,-5.33,-53.75,-25.96,41.7,-64.46,0.2183696854749486,188,2026-09-04
AEMD,"Aethlon Medical, Inc. - Common Stock",Healthcare,Medical Devices,1.82,10.95,17.94,7703373.0,-39.74,-80.94,-78.59,60.61,-91.1,0.11231231231231231,188,2026-09-04
AIAI,AIAI Holdings Corporation - Class A common stock,Industrials,Conglomerates,4.18,21.9,24.2,6061246.0,3.98,-64.33,,117.28,-78.64,,79,2026-09-04
AIBZ,Bitzero Holdings Inc. - Common Shares,Technology,Software - Infrastructure,4.95,8.86,9.93,2294596.0,-30.38,,,96.63,-51.71,,62,2026-09-04
